column,vd,amplitude,mu,sigma,baseline,fwhm,r2,rmse,n_points,success,message
ID_#1,,4.0127049630182164e-11,14.523930894500156,3.7580690181111356,3.3475009228971814e-12,8.849576254341569,0.9458723664154163,3.369766564048315e-12,121,True,ok
ID_#10,,3.357919239019266e-10,16.925263709919225,3.181838516186856,1.587048419832093e-11,7.492657117869864,0.9716976138474851,1.9595803577942612e-11,121,True,ok
ID_#11,,4.117641851848593e-10,17.131503355839364,3.1500763255452653,1.840439220362808e-11,7.4178628746739355,0.970825777734432,2.4357420135720584e-11,121,True,ok
ID_#12,,5.134006044864387e-10,17.273153169318277,3.127540290073805,2.154129665433286e-11,7.364794566610911,0.9721436785346608,2.9611137133626975e-11,121,True,ok
ID_#13,,5.808602505551617e-10,17.696304130722517,3.1683626728184078,2.285648793444797e-11,7.460923931782562,0.9745954013237006,3.204010127509265e-11,121,True,ok
ID_#14,,7.243445449730027e-10,17.787314554076715,3.1185654870541297,2.840067605854104e-11,7.3436605205602525,0.973735585690272,4.050897830455118e-11,121,True,ok
ID_#15,,8.375394483908403e-10,18.13604575556577,3.155291077046964,3.0266976002610784e-11,7.4301426760398295,0.9741552579854206,4.65686243674152e-11,121,True,ok
ID_#16,,9.805136525787201e-10,18.322102641220372,3.23264263130564,3.2081464481530824e-11,7.612291666520065,0.9745003527256835,5.4409554205681914e-11,121,True,ok
ID_#17,,1.1408481991771e-09,18.63234161599474,3.177879801059654,3.738469242987435e-11,7.483335056135886,0.9759848854225824,6.118144531039419e-11,121,True,ok
ID_#18,,1.2709977071195838e-09,18.97086816249934,3.1912843432550284,4.0782924419456615e-11,7.514900340791601,0.9737179681038387,7.145314845888808e-11,121,True,ok
ID_#19,,1.5192955850578454e-09,19.168738282276014,3.2457873862999844,4.556163222903847e-11,7.643245199067361,0.9748557129988504,8.378039207665931e-11,121,True,ok
ID_#2,,5.7766170138244573e-11,13.904103708843547,3.4259187978468777,4.938089297299445e-12,8.06742225771213,0.9469772821183376,4.7380138029304045e-12,121,True,ok
ID_#20,,1.72804544887703e-09,19.451404801314904,3.2284570047429497,5.0686925517693814e-11,7.602435269189358,0.97602818664213,9.289655190546185e-11,121,True,ok
ID_#3,,7.612117901688341e-11,14.332734648016045,3.3537706862840184,5.872665228578122e-12,7.897526438395013,0.9518882606000505,5.910441011025662e-12,121,True,ok
ID_#4,,9.657645444755509e-11,14.830394374843127,3.362103408805062,6.7909477819036585e-12,7.917148500416989,0.9552493116835846,7.222427134407041e-12,121,True,ok
ID_#5,,1.202828342249208e-10,15.196778478310241,3.3545899464273585,7.75234157045642e-12,7.899455648602619,0.9579047998623573,8.70880491846575e-12,121,True,ok
ID_#6,,1.5054658821719383e-10,15.587942503345753,3.282860394849735,9.11204048918764e-12,7.73054546272877,0.962889249751352,1.0167765341829678e-11,121,True,ok
ID_#7,,1.9294716628429417e-10,15.87999924845242,3.1952289838797143,1.1069402538204641e-11,7.524189259604933,0.9650388750599578,1.2568119603355512e-11,121,True,ok
ID_#8,,2.317783202287968e-10,16.187612744385838,3.2311468610110565,1.2214304745383939e-11,7.608769396647665,0.9667872321102865,1.473444792247356e-11,121,True,ok
ID_#9,,2.8292277988679653e-10,16.48517797417932,3.2091974183742487,1.3867872029845882e-11,7.557082409149932,0.970298208725175,1.695501445152217e-11,121,True,ok
Unnamed: 21,,1.9693133608031156e-09,19.750140753671825,3.2432884297086595,5.6111470471739374e-11,7.637360605994524,0.9740864050729591,1.1029360239100897e-10,121,True,ok
