N,mse,mae,r2
1,28386.24244094773,132.3336557792194,0.0840773743974107
2,24144.980836554416,123.74713590777756,0.2209277332515176
3,10854.645485547946,81.14974474102985,0.649759371505726
4,13841.808089870156,95.61886243076931,0.553374306756687
5,12479.176552409981,90.08576542928017,0.5973415580797806
6,12267.354848721061,89.19733170184037,0.6041762876642254
7,11758.83932552271,87.15113654289772,0.6205842667807442
8,9481.197404335317,74.58959915480932,0.6940756340505163
9,7620.983150578438,65.77533422222852,0.754098101871991
10,6912.144865399278,62.680353606866554,0.7769697808072906
11,4825.531292701676,53.18684614016997,0.8442973457746875
12,3510.5283163317818,45.95952238501454,0.8867277935980493
13,3160.9314259405082,42.24161392986397,0.8980080362161345
14,3933.5439569642945,49.18360784070883,0.8730785902191552
15,3068.746423577644,42.78405982474193,0.9009825168851073
16,2883.3323821736926,39.75234229201941,0.9069651655565397
17,3334.9760210281374,44.526460344563645,0.8923922389567323
18,2656.436343058748,37.235756314323154,0.9142862900878094
19,3130.998153613477,41.80292658181993,0.8989738759689544
20,2610.2991828967542,38.95421327382438,0.9157749714080415
21,2610.5492930304063,38.509030030712836,0.9157669012476185
22,1837.5364304566212,31.901318923853225,0.9407092645134173
23,2010.291686903456,33.68132112871747,0.9351350696054227
24,1981.864784830104,33.026090076907515,0.9360523041720947
25,1795.7083970676206,31.988282844305854,0.9420589057082724
26,2223.617279905136,34.81041252132639,0.9282518148859296
27,1908.314778812172,31.701034279458217,0.9384255000878688
28,1639.170400296468,30.011106016258942,0.9471098275873295
29,1680.768360497567,30.66344046985881,0.9457676100322459
30,1902.6343517222253,32.41778531122292,0.9386087871751116
31,1719.9936343101067,30.982715211589763,0.9445019505898204
32,1792.0419324355594,31.70939541908701,0.9421772094224559
33,1515.8153861157143,29.094916746942943,0.951090053173887
34,1509.1785743948292,28.906755784523142,0.9513041993762126
35,1720.3102101448562,30.909986263879357,0.9444917358186907
36,1363.5243986105236,27.42705630559743,0.9560039392375863
37,1562.3345465118723,29.68951775797046,0.9495890460709033
38,1311.1831382331454,27.71898551869117,0.9576928047058472
39,1410.7699952244425,28.14697996067182,0.9544794926332567
40,1451.003647133086,28.20725138453898,0.953181296432389
41,1400.2508914567748,28.662741028299987,0.9548189065293337
42,1492.054971909885,28.488541129956523,0.9518567168494362
43,1427.6214891805569,28.579999681599443,0.9539357551300729
44,1337.3810275006858,27.785567796282972,0.9568474924186331
45,1250.20385897047,26.828705223747807,0.9596603881817445
46,1195.8693889049457,26.394541203030958,0.9614135674053303
47,1429.184940289533,28.35396433679126,0.9538853081486622
48,1306.7994739357323,27.358971200531712,0.9578342498908307
49,1347.8528045086462,27.752911392605217,0.9565096055880035
50,1267.9355555977884,27.189055839476538,0.9590882496831367
51,1372.0169194874843,27.643818918473286,0.9557299159308457
52,1421.995211634553,28.13469916578765,0.9541172950049973
53,1178.0220010092917,26.16010124014208,0.9619894388478272
54,1300.5658551023737,27.16188310745459,0.9580353864991977
55,1261.6002741388306,27.12562654199738,0.9592926665812129
56,1280.781276608461,27.04929128052278,0.9586737641611331
57,1252.8483430420906,26.681577648817388,0.9595750601289287
58,1301.5403916230978,27.01641077438218,0.9580039416874843
59,1291.7894433177535,27.127632508304444,0.9583185699512471
60,1243.3954928828325,26.693142747118138,0.9598800698305582
61,1273.2551510919532,26.992032991905347,0.9589166053423157
62,1274.4521006238915,27.061856450847472,0.9588779840573645
63,1260.3479903296388,26.82776628824416,0.9593330733055936
64,1246.2864806797104,26.680801572298336,0.9597867879832334
65,1204.9499023357243,26.228359642227407,0.9611205716796495
66,1180.4332620936532,26.044812259448964,0.9619116360675545
67,1204.5472239607182,26.079294198589157,0.9611335646721273
68,1172.9298143899168,25.620127722320458,0.9621537455167418
69,1189.9731632471994,25.94096245375449,0.9616038175413538
70,1153.350265959681,25.523424397516393,0.962785507591051
71,1176.6833388264276,25.61916739447495,0.9620326326937149
72,1195.2708449146671,25.99529706497396,0.961432880281427
73,1185.758385109892,25.686384749069376,0.9617398133733449
74,1120.3647010707,25.134594029351415,0.9638498339196572
75,1124.4402225657536,25.010655074650735,0.9637183314019776
76,1157.1733562149102,25.50995104429236,0.9626621501275977
77,1215.6021403009297,26.221457590713378,0.9607768620186778
78,1175.585803438751,25.856838966460078,0.9620680462394162
79,1164.1578770443625,25.569895987651336,0.9624367845946288
80,1151.339336402059,25.455473586308322,0.9628503931032547
