N,mse,mae,r2,sigma_exp_min,sigma_exp_max,sigma_model_min,sigma_model_max
1,1040.3953989784711,24.263809811129573,0.9664301575849783,9.320944158184835,9.320944158184835,9.320944158184835,9.320944158184835
2,1053.6646034720989,24.35668724665209,0.9660020077639957,4.8,18.1,4.8,18.1
3,1070.43722189506,24.573300167468297,0.9654608152924614,4.8,18.1,4.8,18.1
4,1176.0407536117334,24.886792241266786,0.9620533666227736,4.8,18.1,4.8,18.1
5,1133.7007080107498,25.032789905423957,0.9634195286223993,4.8,18.1,4.8,18.1
6,1084.9541071615633,24.896472943607385,0.9649924072706344,4.8,18.1,4.8,18.1
7,1077.4460075275965,24.701948654815446,0.9652346668209899,4.8,18.1,4.8,18.1
8,1071.2113804382325,24.776603432349134,0.965435835962176,4.8,18.1,4.8,18.1
9,1059.5216957089228,24.505227243135334,0.96581302032365,4.8,18.1,4.8,18.1
10,1064.149971961637,24.647027561299538,0.965663682384815,4.8,18.1,4.8,18.1
11,1065.2082260971467,24.633593951919913,0.9656295363047775,4.8,18.1,4.8,18.1
12,1118.0871955605953,25.070446030938857,0.9639233208854288,4.8,18.1,4.8,18.1
13,1100.2211844599192,24.812373694157017,0.9644997932322149,4.8,18.1,4.8,18.1
14,1055.7929853444152,24.519854886082584,0.9659333324852288,4.8,18.1,4.8,18.1
15,1039.2361927615457,24.306904698304397,0.9664675610280029,4.8,18.1,4.8,18.1
16,1093.4946429834142,24.448295814806045,0.9647168346931692,4.8,18.1,4.8,18.1
17,1092.8067239850911,24.557916298988935,0.9647390313814578,4.8,18.1,4.8,18.1
18,1061.81958776187,24.447476649660764,0.9657388755569777,4.8,18.1,4.8,18.1
19,1032.7634114819161,24.318438032176843,0.9666764145540349,4.8,18.1,4.8,18.1
20,1157.8799889233717,24.63625605873588,0.9626393496147431,4.8,18.1,4.8,18.1
21,1091.790545221895,24.84235899728366,0.964771819839557,4.8,18.1,4.8,18.1
22,1109.0357809605305,24.908812372493546,0.9642153776958063,4.8,18.1,4.8,18.1
23,1071.7482854650152,24.62559365136899,0.9654185119552083,4.8,18.1,4.8,18.1
24,1105.2993515758894,24.84413639201763,0.9643359389225865,4.8,18.1,4.8,18.1
25,1095.215299411475,24.860762861593237,0.9646613152577728,4.8,18.1,4.8,18.1
26,1068.36156778576,24.42090780370105,0.9655277892347007,4.8,18.1,4.8,18.1
27,1029.7122612227272,24.12886617642272,0.9667748642717923,4.8,18.1,4.8,18.1
28,1053.7425176258928,24.54630821220205,0.9659994937526234,4.8,18.1,4.8,18.1
29,1086.943091792533,24.730240132864864,0.9649282298428092,4.8,18.1,4.8,18.1
30,1063.4130952732826,24.625904657803,0.9656874587628456,4.8,18.1,4.8,18.1
31,1081.7423844734155,24.680894342573865,0.9650960380869833,4.8,18.1,4.8,18.1
32,1085.233355395194,24.787786375244757,0.9649833969278292,4.8,18.1,4.8,18.1
33,1080.0587398680934,24.873484573575197,0.9651503632830953,4.8,18.1,4.8,18.1
