index,source_file,GateV,DrainI,source_line,setup_title
1,vgs-id2#1.xls,-30.0033206939697,2.01366809511605e-12,2,Run6391
2,vgs-id2#1.xls,-29.5031490325928,1.68905796467389e-12,3,Run6391
3,vgs-id2#1.xls,-29.0026798248291,1.50524287045178e-12,4,Run6391
4,vgs-id2#1.xls,-28.5026187896729,1.38325516405718e-12,5,Run6391
5,vgs-id2#1.xls,-28.0022392272949,1.16716272063888e-12,6,Run6391
6,vgs-id2#1.xls,-27.5018692016602,1.11035302046564e-12,7,Run6391
7,vgs-id2#1.xls,-27.0015678405762,9.7905429423395e-13,8,Run6391
8,vgs-id2#1.xls,-26.5009593963623,8.84579031117799e-13,9,Run6391
9,vgs-id2#1.xls,-26.0011291503906,8.65721014840781e-13,10,Run6391
10,vgs-id2#1.xls,-25.5010890960693,7.82122847389766e-13,11,Run6391
11,vgs-id2#1.xls,-25.0010890960693,6.9291778261385e-13,12,Run6391
12,vgs-id2#1.xls,-24.5011177062988,6.11087569435398e-13,13,Run6391
13,vgs-id2#1.xls,-24.000919342041,5.95209808090108e-13,14,Run6391
14,vgs-id2#1.xls,-23.500997543335,5.20586015701624e-13,15,Run6391
15,vgs-id2#1.xls,-23.0009288787842,5.27523012251729e-13,16,Run6391
16,vgs-id2#1.xls,-22.5011596679688,5.39831254784545e-13,17,Run6391
17,vgs-id2#1.xls,-22.004301071167,5.45252916168276e-13,18,Run6391
18,vgs-id2#1.xls,-21.5041790008545,4.08582943953878e-13,19,Run6391
19,vgs-id2#1.xls,-21.0000457763672,4.3540510281416e-13,20,Run6391
20,vgs-id2#1.xls,-20.4999847412109,4.15385309699215e-13,21,Run6391
21,vgs-id2#1.xls,-19.9997234344482,4.34394870334892e-13,22,Run6391
22,vgs-id2#1.xls,-19.4998512268066,4.09172262044732e-13,23,Run6391
23,vgs-id2#1.xls,-18.9995632171631,2.72771714070197e-13,24,Run6391
24,vgs-id2#1.xls,-18.4996185302734,2.41807550545314e-13,25,Run6391
25,vgs-id2#1.xls,-18.0000686645508,2.96579953521295e-13,26,Run6391
26,vgs-id2#1.xls,-17.5000095367432,2.07829481163775e-13,27,Run6391
27,vgs-id2#1.xls,-17.0001850128174,2.49468631516314e-13,28,Run6391
28,vgs-id2#1.xls,-16.4999732971191,2.87639242936219e-13,29,Run6391
29,vgs-id2#1.xls,-15.9999837875366,2.57921017442903e-13,30,Run6391
30,vgs-id2#1.xls,-15.5005168914795,2.73259984518576e-13,31,Run6391
31,vgs-id2#1.xls,-15.0006475448608,1.7110688950786e-13,32,Run6391
32,vgs-id2#1.xls,-14.5004405975342,2.06953920146857e-13,33,Run6391
33,vgs-id2#1.xls,-14.0006351470947,1.68446569084706e-13,34,Run6391
34,vgs-id2#1.xls,-13.5004386901855,1.22901146724919e-13,35,Run6391
35,vgs-id2#1.xls,-13.0004930496216,1.52551975500688e-13,36,Run6391
36,vgs-id2#1.xls,-12.5009489059448,1.38729265163236e-13,37,Run6391
37,vgs-id2#1.xls,-12.0008087158203,1.14583405155626e-13,38,Run6391
38,vgs-id2#1.xls,-11.5006170272827,1.08033631411424e-13,39,Run6391
39,vgs-id2#1.xls,-11.0006532669067,1.60364573725293e-13,40,Run6391
40,vgs-id2#1.xls,-10.5005311965942,1.36674214155398e-13,41,Run6391
41,vgs-id2#1.xls,-10.0005702972412,7.17993373089421e-14,42,Run6391
42,vgs-id2#1.xls,-9.50084781646729,1.27430441958058e-13,43,Run6391
43,vgs-id2#1.xls,-9.00056076049805,4.95570042793013e-14,44,Run6391
44,vgs-id2#1.xls,-8.50034141540527,9.67525687930841e-14,45,Run6391
45,vgs-id2#1.xls,-8.00044631958008,1.1677228736913e-13,46,Run6391
46,vgs-id2#1.xls,-7.50043773651123,3.06653303010912e-14,47,Run6391
47,vgs-id2#1.xls,-7.00049352645874,5.60562846954517e-14,48,Run6391
48,vgs-id2#1.xls,-6.50066757202148,8.96807652553573e-14,49,Run6391
49,vgs-id2#1.xls,-6.00049352645874,-8.04407284733149e-15,50,Run6391
50,vgs-id2#1.xls,-5.50022268295288,6.69503718415086e-14,51,Run6391
51,vgs-id2#1.xls,-5.00045967102051,7.68848350328304e-14,52,Run6391
52,vgs-id2#1.xls,-4.50050258636475,2.85943245806591e-14,53,Run6391
53,vgs-id2#1.xls,-4.00044584274292,5.86997627154834e-14,54,Run6391
54,vgs-id2#1.xls,-3.50046467781067,1.44851155131935e-14,55,Run6391
55,vgs-id2#1.xls,-3.00027823448181,1.67739384665175e-13,56,Run6391
56,vgs-id2#1.xls,-2.50008273124695,6.56969704332377e-13,57,Run6391
57,vgs-id2#1.xls,-1.9999703168869,3.8189677115108e-12,58,Run6391
58,vgs-id2#1.xls,-1.50001573562622,1.74095390881313e-11,59,Run6391
59,vgs-id2#1.xls,-1.00002837181091,9.15383741029174e-11,60,Run6391
60,vgs-id2#1.xls,-0.500001847743988,2.99129554459654e-10,61,Run6391
61,vgs-id2#1.xls,1.19767792057246e-05,1.99257077504456e-09,62,Run6391
62,vgs-id2#1.xls,0.500047862529755,5.13446751781999e-09,63,Run6391
63,vgs-id2#1.xls,1.00009655952454,2.14533049103238e-08,64,Run6391
