Vd,n_points_raw,n_points_fit,gaussian_rmse,gaussian_mae,gaussian_r2,gaussian_aic,gaussian_bic,gaussian_b,gaussian_A,gaussian_mu,gaussian_sigma,rq_rmse,rq_mae,rq_r2,rq_aic,rq_bic,rq_b,rq_A,rq_mu,rq_ell,rq_alpha,winner_aic,winner_bic
10.0,121,98,2.968716746773917e-11,2.1744698986682937e-11,-3.6115645845747917,-4743.100022115487,-4732.760152200805,2.347e-12,1e-10,13.0,3.3972872011520763,2.998738072269652e-11,2.186277439425512e-11,-3.7053056258377977,-4739.127915206264,-4726.203077812911,2.347e-12,1e-10,13.0,3.3972872011520763,10.0,gaussian,gaussian
11.0,121,98,1.9565628173377783e-11,1.5286229168873685e-11,0.04415331298077785,-4824.820363741965,-4814.480493827283,3.466e-12,1e-10,13.0,3.078791526044069,1.9744852534057595e-11,1.5302013772341346e-11,0.026561684607368963,-4821.033144788763,-4808.10830739541,3.466e-12,1e-10,13.0,3.078791526044069,10.0,gaussian,gaussian
12.0,121,95,1.1978383945009811e-11,1.0620377503137533e-11,0.7920449755682746,-4770.104311399138,-4759.888803832736,4.518e-12,1e-10,13.75,2.972626301008067,1.1804174004748469e-11,1.041337889214069e-11,0.7980498572468,-4770.887904379793,-4758.118519921791,4.518e-12,1e-10,13.75,2.972626301008067,5.0,rq,gaussian
13.0,121,93,1.0372500343034576e-11,8.263557517620397e-12,0.9026865971659602,-4696.286519791574,-4686.156121818962,5.918e-12,1.04382e-10,14.25,2.972626301008067,8.697629261542042e-12,6.7214395458317e-12,0.9315761468334196,-4727.042536450108,-4714.379538984342,5.918e-12,1.04382e-10,14.25,2.972626301008067,2.0,rq,rq
14.0,121,91,1.6049425529217108e-11,1.3175671803268516e-11,0.8493039354416394,-4515.673346840873,-4505.629908814805,7.783e-12,1.27866e-10,14.25,2.8664610759720643,1.3596556115855039e-11,1.095209242029526e-11,0.8918464533189727,-4543.859233929318,-4531.304936396734,7.783e-12,1.27866e-10,14.25,2.8664610759720643,2.0,rq,rq
15.0,121,90,1.615242963875008e-11,1.2520005477843672e-11,0.9022273648424114,-4464.811114398511,-4454.81187571719,9.232e-12,1.6433300000000002e-10,15.0,2.760295850936062,1.2815421360360498e-11,1.0559758409907237e-11,0.9384529297456683,-4504.466937753157,-4491.967889401506,9.232e-12,1.6433300000000002e-10,15.0,2.760295850936062,2.0,rq,rq
16.0,121,88,2.1554492745071787e-11,1.609826795492232e-11,0.8936951705603954,-4314.6368840262085,-4304.727536768296,1.1247e-11,2.0771999999999998e-10,15.25,2.6541306259000597,1.638669004470257e-11,1.3452735506052319e-11,0.9385587759025938,-4360.881098011995,-4348.494413939604,1.1247e-11,2.0771999999999998e-10,15.25,2.6541306259000597,2.0,rq,rq
17.0,121,87,2.179226960298475e-11,1.622494684396394e-11,0.9247442147630294,-4263.607051703603,-4253.743419228985,1.3151e-11,2.4946999999999997e-10,15.75,2.760295850936062,1.7115332829882764e-11,1.3628430375286697e-11,0.9535799436500844,-4303.642073157716,-4291.312532564443,1.3151e-11,2.4946999999999997e-10,15.75,2.760295850936062,2.0,rq,rq
18.0,121,85,3.1411099515330225e-11,2.5301970913707836e-11,0.8946547017936723,-4103.256165613598,-4093.4855605876364,1.6963e-11,3.0129300000000003e-10,15.75,2.760295850936062,2.7496935906186494e-11,2.124020959954775e-11,0.9192732474630334,-4123.880911639705,-4111.667655357253,1.6963e-11,3.0129300000000003e-10,15.75,2.760295850936062,2.0,rq,rq
19.0,121,84,2.7328330443533385e-11,2.0098735359579177e-11,0.9432483613043804,-4078.280330715279,-4068.5570635199056,2.0399e-11,3.56962e-10,16.75,2.6541306259000597,1.861651388216575e-11,1.5499661669063384e-11,0.9736640540293742,-4140.771310444939,-4128.617226450723,2.0399e-11,3.56962e-10,16.75,2.6541306259000597,2.0,rq,rq
